"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1","Shohei Ohtani",LAD,"DH1","1","2","1.3","0.4","0"
"2","Aaron Judge",NYY,"OF1","1","2","1.6","0.5","0"
"3","Bobby Witt Jr.",KC,"SS1","3","4","3.1","0.3","+1"
"4","Juan Soto",NYM,"OF2","3","6","3.9","0.3","+1"
"5","Jose Ramirez",CLE,"3B1","4","10","5.8","0.9","+1"
"6","Ronald Acuna Jr.",ATL,"OF3","5","13","7.5","1.9","+3"
"7","Corbin Carroll",ARI,"OF4","5","11","7.5","1.8","+1"
"8","Tarik Skubal",DET,"SP1","5","21","8.9","2.8","-1"
"9","Julio Rodriguez",SEA,"OF5","7","11","9.2","1.2","+4"
"10","Elly De La Cruz",CIN,"SS2","6","18","9.9","2.3","0"
"11","Paul Skenes",PIT,"SP2","7","18","11.3","1.9","0"
"12","Fernando Tatis Jr.",SD,"OF6","8","21","12.9","2.7","+3"
"13","Garrett Crochet",BOS,"SP3","6","23","13.5","2.4","-1"
"14","Gunnar Henderson",BAL,"SS3","11","20","13.9","1.4","+5"
"15","Kyle Tucker",LAD,"OF7","6","23","14.4","3.7","+1"
"16","Francisco Lindor",NYM,"SS4","12","18","15.4","0.9","+1"
"17","Junior Caminero",TB,"3B2","8","44","15.6","2.6","+1"
"18","Cal Raleigh",SEA,"C1","12","21","18.8","1.3","-4"
"19","Vladimir Guerrero Jr.",TOR,"1B1","15","24","19.4","2.3","+3"
"20","Nick Kurtz",ATH,"1B2","17","27","19.4","1.9","0"
"21","Jackson Chourio",MIL,"OF8","12","49","19.8","2.1","+2"
"22","Kyle Schwarber",PHI,"DH2","15","32","21.3","2.0","-1"
"23","Jazz Chisholm Jr.",NYY,"2B1","13","24","21.6","1.8","+1"
"24","Pete Alonso",BAL,"1B3","22","29","24.4","1.5","+2"
"25","Ketel Marte",ARI,"2B2","20","34","27.5","3.2","+2"
"26","Trea Turner",PHI,"SS5","21","71","28.2","5.6","+3"
"27","Yordan Alvarez",HOU,"OF9","24","36","29.7","3.0","+5"
"28","Yoshinobu Yamamoto",LAD,"SP4","22","48","31.0","4.4","-3"
"29","Cristopher Sanchez",PHI,"SP5","26","41","31.3","4.1","-1"
"30","Bryce Harper",PHI,"1B4","26","42","32.9","3.3","+8"
"31","Manny Machado",SD,"3B3","25","37","33.1","3.1","0"
"32","Matt Olson",ATL,"1B5","24","48","33.3","5.1","+5"
"33","Rafael Devers",SF,"1B6","26","50","35.1","6.0","+8"
"34","Zach Neto",LAA,"SS6","26","47","36.2","5.5","+1"
"35","Pete Crow-Armstrong",CHC,"OF10","25","134","36.3","9.8","-5"
"36","James Wood",WSH,"OF11","27","65","36.7","6.6","-3"
"37","Chris Sale",ATL,"SP6","26","49","37.2","3.8","+3"
"38","Logan Gilbert",SEA,"SP7","29","67","38.1","4.1","+1"
"39","Hunter Brown",HOU,"SP8","30","60","38.1","7.5","-5"
"40","Mookie Betts",LAD,"SS7","27","53","41.3","4.2","+2"
"41","Logan Webb",SF,"SP9","33","76","41.6","6.2","+7"
"42","Jacob deGrom",TEX,"SP10","35","73","41.7","5.4","+5"
"43","Bryan Woo",SEA,"SP11","32","54","42.0","3.7","-7"
"44","Cole Ragans",KC,"SP12","28","63","45.8","5.7","+9"
"45","Hunter Greene",CIN,"SP13","40","64","46.6","4.0","+1"
"46","Brent Rooker",ATH,"OF12","31","153","49.3","16.1","-2"
"47","Max Fried",NYY,"SP14","43","72","51.6","8.2","-4"
"48","Wyatt Langford",TEX,"OF13","29","87","52.3","8.8","+2"
"49","Roman Anthony",BOS,"OF14","28","150","53.8","10.9","0"
"50","Freddie Freeman",LAD,"1B7","28","100","55.1","13.6","+1"
"51","Riley Greene",DET,"OF15","42","70","55.1","5.6","+6"
"52","Austin Riley",ATL,"3B4","43","79","55.7","8.5","+13"
"53","Josh Naylor",SEA,"1B8","40","102","55.9","6.3","+3"
"54","Brice Turang",MIL,"2B3","32","79","57.4","11.1","-9"
"55","Joe Ryan",MIN,"SP15","43","86","58.0","6.0","+12"
"56","Jarren Duran",BOS,"OF16","33","88","59.6","9.0","+6"
"57","Cody Bellinger",NYY,"OF17","45","73","60.2","5.4","+9"
"58","Jackson Merrill",SD,"CF1","48","91","60.6","12.3","+6"
"59","George Kirby",SEA,"SP16","46","84","61.1","5.9","+13"
"60","William Contreras",MIL,"C2","46","80","61.8","4.8","-5"
"61","Freddy Peralta",NYM,"SP17","47","83","62.6","9.7","-3"
"62","Blake Snell",LAD,"SP18","48","103","62.9","11.0","+7"
"63","Spencer Schwellenbach",ATL,"SP19","53","84","63.8","4.8","+18"
"64","Dylan Cease",TOR,"SP20","46","95","65.0","12.3","+11"
"65","CJ Abrams",WSH,"SS8","48","86","65.5","10.2","-4"
"66","Jesus Luzardo",PHI,"SP21","59","92","69.1","4.1","+14"
"67","Corey Seager",TEX,"SS9","52","89","70.8","7.0","+15"
"68","Vinnie Pasquantino",KC,"1B9","38","86","71.0","10.3","+10"
"69","Geraldo Perdomo",ARI,"SS10","40","92","71.3","13.2","-9"
"70","Mason Miller",SD,"RP1","34","201","71.9","32.1","-16"
"71","Bo Bichette",NYM,"SS11","48","117","73.4","12.8","+13"
"72","Kyle Bradish",BAL,"SP22","45","94","75.2","8.7","+13"
"73","George Springer",TOR,"OF18","45","105","76.1","9.6","+4"
"74","Byron Buxton",MIN,"CF2","56","163","77.4","10.6","-6"
"75","Seiya Suzuki",CHC,"OF19","53","109","78.3","8.0","+13"
"76","Ben Rice",NYY,"1B10","58","139","78.8","18.0","-5"
"77","Framber Valdez",FA,"SP23","56","100","79.0","10.6","+9"
"78","Shea Langeliers",ATH,"C3","55","136","79.3","16.8","-15"
"79","Jeremy Pena",HOU,"SS12","67","102","79.5","5.4","+17"
"80","Maikel Garcia",KC,"2B4","67","91","80.5","4.8","-7"
"81","Edwin Diaz",LAD,"RP2","33","187","81.4","37.7","-29"
"82","Nick Pivetta",SD,"SP24","62","116","83.0","8.7","+5"
"83","Andres Munoz",SEA,"RP3","51","147","84.2","26.6","-24"
"84","Randy Arozarena",SEA,"OF20","61","117","84.3","6.6","-5"
"85","Tyler Soderstrom",ATH,"1B11","47","124","89.5","8.6","-2"
"86","Jhoan Duran",PHI,"RP4","53","260","90.7","29.0","-16"
"87","Hunter Goodman",COL,"C4","51","238","90.9","24.7","-11"
"88","Alex Bregman",CHC,"3B5","29","139","92.2","17.1","+2"
"89","Tyler Glasnow",LAD,"SP25","79","112","93.6","6.3","+20"
"90","Michael Harris II",ATL,"OF21","70","167","94.8","6.8","+12"
"91","Oneil Cruz",PIT,"CF3","76","165","98.5","13.5","0"
"92","Pablo Lopez",MIN,"SP26","73","155","99.4","25.1","+33"
"93","Nolan McLean",NYM,"SP27","78","130","99.5","13.7","+4"
"94","Kevin Gausman",TOR,"SP28","77","135","100.5","17.0","+10"
"95","Kyle Stowers",MIA,"OF22","76","187","101.0","12.0","+20"
"96","Cade Smith",CLE,"RP5","50","264","101.6","37.0","-22"
"97","Eury Perez",MIA,"SP29","72","157","101.8","14.2","+8"
"98","Eugenio Suarez",CIN,"3B6","59","130","102.5","4.7","-3"
"99","Nico Hoerner",CHC,"2B5","83","131","102.6","6.8","-5"
"100","Spencer Strider",ATL,"SP30","62","198","104.1","29.0","+3"
"101","Sonny Gray",BOS,"SP31","38","176","105.9","22.3","+13"
"102","Michael Busch",CHC,"1B12","95","114","105.9","5.9","+8"
"103","Jose Altuve",HOU,"2B6","66","148","109.9","14.5","-5"
"104","Yandy Diaz",TB,"1B13","63","152","110.0","11.7","+20"
"105","Brandon Woodruff",MIL,"SP32","92","154","111.2","8.9","+13"
"106","Christian Yelich",MIL,"OF23","57","224","112.4","23.8","-13"
"107","Willy Adames",SF,"SS13","78","163","112.9","21.2","+4"
"108","Trevor Story",BOS,"SS14","83","280","113.3","21.6","-1"
"109","Jordan Westburg",BAL,"2B7","78","138","114.9","12.4","+8"
"110","Teoscar Hernandez",LAD,"OF24","92","153","115.2","15.0","+2"
"111","Josh Hader",HOU,"RP6","62","212","117.1","43.1","-22"
"112","Agustin Ramirez",MIA,"C5","68","214","117.2","20.6","-11"
"113","Salvador Perez",KC,"C6","87","166","118.8","14.3","-7"
"114","Trey Yesavage",TOR,"SP33","104","158","119.9","9.4","+14"
"115","Will Smith",LAD,"C7","101","155","120.5","11.6","-7"
"116","Sandy Alcantara",MIA,"SP34","88","206","121.2","26.0","+35"
"117","David Bednar",NYY,"RP7","72","202","123.9","39.5","-17"
"118","Jo Adell",LAA,"OF25","114","203","125.2","6.4","+12"
"119","Luke Keaschall",MIN,"2B8","90","180","125.3","16.5","+4"
"120","Luis Castillo",SEA,"SP35","89","177","126.5","25.2","+20"
"121","Andy Pages",LAD,"OF26","116","211","127.6","9.9","+15"
"122","Robbie Ray",SF,"SP36","103","185","127.7","15.8","+38"
"123","Drake Baldwin",ATL,"C8","105","168","128.1","17.0","-7"
"124","Brandon Nimmo",TEX,"OF27","69","158","128.6","21.1","+3"
"125","Aroldis Chapman",BOS,"RP8","74","203","128.8","35.7","-26"
"126","Nathan Eovaldi",TEX,"SP37","72","162","129.0","18.4","+18"
"127","Cam Schlittler",NYY,"SP38","91","226","129.1","5.1","+5"
"128","Ozzie Albies",ATL,"2B9","117","157","129.2","8.8","+10"
"129","Lawrence Butler",ATH,"OF28","116","236","130.2","7.7","+5"
"130","Shane Bieber",TOR,"SP39","97","168","130.6","23.1","+33"
"131","Jacob Misiorowski",MIL,"SP40","93","184","130.9","13.5","-10"
"132","Zack Wheeler",PHI,"SP41","58","213","135.9","30.6","-1"
"133","Gavin Williams",CLE,"SP42","113","178","136.3","8.8","+10"
"134","Jakob Marsee",MIA,"OF29","97","210","136.5","10.4","+1"
"135","Nick Lodolo",CIN,"SP43","116","176","136.7","7.5","+4"
"136","Michael King",SD,"SP44","90","163","136.9","13.1","+5"
"137","Luis Robert Jr.",NYM,"OF30","108","244","137.5","12.5","-4"
"138","Devin Williams",NYM,"RP9","49","232","138.3","45.0","-25"
"139","Trevor Rogers",BAL,"SP45","106","187","138.6","19.0","+8"
"140","Matt Chapman",SF,"3B7","83","203","138.8","21.1","+15"
"141","Ryan Pepiot",TB,"SP46","109","198","139.6","10.4","+13"
"142","Chase Burns",CIN,"SP,RP1","94","210","139.9","24.6","-22"
"143","Taylor Ward",BAL,"OF31","104","247","141.9","25.9","-14"
"144","Jackson Holliday",BAL,"2B10","116","184","142.7","14.7","-25"
"145","Ranger Suarez",BOS,"SP47","92","191","145.4","17.5","+26"
"146","Emmet Sheehan",LAD,"SP48","94","209","145.9","22.5","+2"
"147","Bubba Chandler",PIT,"SP49","109","194","145.9","14.5","+12"
"148","Jacob Wilson",ATH,"SS15","96","172","146.9","19.9","+16"
"149","Ceddanne Rafaela",BOS,"OF32","118","235","149.3","20.1","+1"
"150","Steven Kwan",CLE,"OF33","123","205","151.1","15.8","+6"
"151","Ian Happ",CHC,"OF34","80","242","152.6","27.1","+2"
"152","Raisel Iglesias",ATL,"RP10","90","221","153.6","37.0","-30"
"153","MacKenzie Gore",TEX,"SP50","75","210","153.9","23.8","+25"
"154","Willson Contreras",BOS,"1B14","101","233","157.5","33.2","+23"
"155","Tanner Bibee",CLE,"SP51","108","197","157.5","19.0","+26"
"156","Jurickson Profar",ATL,"OF35","110","196","157.7","14.5","+10"
"157","Shota Imanaga",CHC,"SP52","115","216","158.7","19.2","+15"
"158","Dansby Swanson",CHC,"SS16","123","195","159.1","16.5","-6"
"159","Xavier Edwards",MIA,"SS17","140","192","159.6","10.9","+11"
"160","Spencer Torkelson",DET,"1B15","116","213","159.8","17.6","+15"
"161","Brandon Lowe",PIT,"2B11","119","249","160.8","14.9","+7"
"162","Carlos Estevez",KC,"RP11","111","215","160.9","26.7","-36"
"163","Bryan Reynolds",PIT,"OF36","125","250","166.1","22.5","+13"
"164","Carlos Rodon",NYY,"SP53","127","221","166.6","19.2","+22"
"165","Adley Rutschman",BAL,"C9","126","277","167.6","17.0","-8"
"166","Noelvi Marte",CIN,"3B8","137","278","168.8","28.9","-17"
"167","Jonathan Aranda",TB,"1B16","128","214","169.3","14.4","+32"
"168","Ivan Herrera",STL,"C10","145","196","169.3","11.7","-6"
"169","Drew Rasmussen",TB,"SP54","114","198","169.6","12.8","+10"
"170","Cade Horton",CHC,"SP55","111","258","174.4","13.5","+12"
"171","Chandler Simpson",TB,"OF37","133","210","174.7","21.2","-10"
"172","Jack Flaherty",DET,"SP56","103","266","176.8","25.1","+28"
"173","Dylan Crews",WSH,"OF38","150","243","177.7","16.5","+20"
"174","Yainer Diaz",HOU,"C11","102","247","178.0","17.3","-28"
"175","Ryan Helsley",BAL,"RP12","96","286","178.6","60.7","-38"
"176","Christian Walker",HOU,"1B17","135","244","178.7","27.7","+9"
"177","Edward Cabrera",CHC,"SP57","140","200","179.0","15.1","+30"
"178","Jeff Hoffman",TOR,"RP13","107","230","181.6","28.9","-33"
"179","Aaron Nola",PHI,"SP58","119","257","182.6","17.4","+30"
"180","Colson Montgomery",CWS,"SS18","155","234","182.8","16.8","-6"
